Advertising_Spend,Sales,Study_Hours,Exam_Score,Social_Trust,Voluntary_Associations
5596.06,4998.42,3.3,66.1,4,0.0
4834.08,4694.2,3.9,80.6,2,0.0
5777.23,4344.59,6.5,82.1,3,3.7
6827.64,5599.62,6.2,94.8,3,0.9
4719.02,4593.97,5.0,74.4,4,6.1
4719.04,3788.04,5.2,73.9,4,5.4
6895.06,6940.15,7.6,99.4,10,14.1
5920.92,5339.53,3.8,60.2,5,7.9
4436.63,3265.27,6.1,83.2,4,4.7
5651.07,5350.78,4.6,64.8,10,12.2
4443.9,3442.2,4.6,96.2,8,11.0
4441.12,4850.23,7.2,97.9,6,4.5
5290.35,5572.05,6.7,86.2,6,5.0
2704.06,2695.49,6.6,95.2,8,7.7
2930.1,4235.75,7.6,99.8,7,5.6
4325.25,4492.85,5.0,78.1,10,13.0
3784.6,4549.95,6.4,97.1,10,8.1
5377.1,6205.98,4.4,82.6,8,11.8
3910.37,3758.88,5.6,79.9,2,0.9
3305.24,3049.63,4.7,72.2,9,10.4
6758.78,4667.78,5.2,78.8,1,1.5
4729.07,3711.89,6.2,66.5,8,5.1
5081.03,4478.84,3.4,51.8,4,3.9
3290.3,3918.07,9.2,100.0,4,5.0
4346.74,4394.72,3.0,80.4,5,4.8
5133.11,5228.3,2.6,58.1,8,4.0
3618.81,3819.81,7.3,100.0,5,10.1
5450.84,5888.25,6.6,95.8,8,8.3
4279.23,3927.89,6.2,100.0,10,7.6
4649.97,6501.12,6.3,100.0,1,5.9
4277.95,4639.51,5.0,78.5,10,11.9
7222.73,4925.64,3.2,56.1,9,5.4
4983.8,3635.19,5.2,65.1,6,2.9
3730.75,4251.35,3.6,71.2,3,2.3
5987.05,4814.76,7.0,88.0,8,8.9
3534.99,4338.69,4.7,63.4,9,10.9
5250.64,5003.91,3.3,60.3,6,8.9
2648.4,3265.93,4.4,64.0,7,8.6
3406.18,3025.65,5.8,100.0,1,5.0
5236.23,3406.24,3.9,79.8,5,5.4
5886.16,4585.87,3.4,66.8,5,2.7
5205.64,5287.94,5.5,98.7,10,10.0
4861.22,4601.89,5.5,84.7,4,3.8
4638.68,3322.75,4.0,63.3,6,0.0
3225.77,3751.43,4.1,87.7,7,5.3
4136.19,4376.35,5.5,89.1,9,9.9
4447.23,3516.53,2.1,46.5,1,0.0
6268.55,5257.25,2.2,55.6,6,4.1
5412.34,4752.74,3.6,59.7,7,9.7
2884.35,2527.8,4.6,62.8,3,0.3
5388.9,4980.68,5.6,94.2,8,10.1
4537.9,4717.58,8.0,100.0,5,1.0
4187.69,4960.29,6.7,79.7,9,17.3
5734.01,5710.05,4.7,83.1,5,4.4
6237.2,4016.46,5.0,73.2,9,8.0
6117.54,4308.51,3.0,59.1,10,13.4
3992.94,4408.5,5.0,73.8,4,2.7
4628.95,4725.5,4.4,66.7,9,13.4
5397.52,5110.8,5.6,85.6,5,6.1
6170.65,8167.51,3.3,58.5,10,9.6
4424.99,4669.21,6.0,91.0,9,8.3
4777.21,5297.06,8.1,100.0,3,6.6
3672.4,4599.4,4.8,75.9,4,4.7
3564.55,4303.39,5.8,77.4,9,10.3
5975.03,4735.3,6.4,85.3,10,11.6
6627.49,5920.92,4.2,81.1,6,6.4
4913.59,3838.53,5.4,88.6,2,3.6
6204.24,4912.66,5.0,70.4,7,6.6
5433.96,4328.69,5.2,82.6,2,1.9
4225.86,4178.43,3.5,75.1,2,0.0
5433.67,6568.56,5.0,63.7,1,1.9
6845.64,3929.01,6.0,93.4,3,0.0
4957.01,5027.51,7.9,96.6,6,6.9
6877.57,4148.61,6.9,100.0,8,7.2
1856.31,2550.61,9.3,100.0,9,10.1
5986.28,5864.3,3.5,49.7,7,3.9
5104.46,4603.65,6.7,77.7,4,0.0
4641.19,3458.4,5.4,83.4,6,4.9
5110.11,3982.81,9.4,100.0,5,1.9
2614.92,3851.14,3.4,58.0,8,2.7
4736.39,3783.9,3.3,73.0,1,3.3
5428.54,4887.43,3.8,53.8,1,5.8
6773.47,5423.19,0.8,45.4,6,3.6
4378.08,3667.76,3.9,59.5,10,9.8
4029.81,5730.06,3.5,61.3,2,1.1
4397.89,4706.08,5.3,82.9,5,3.0
6098.48,3429.13,5.7,76.9,1,3.0
5394.5,4846.41,8.8,100.0,7,10.0
4364.29,3652.71,6.9,100.0,1,0.0
5615.92,5489.91,3.8,65.0,4,4.1
5116.49,3924.23,3.2,74.0,9,12.9
6162.37,4989.4,6.0,76.6,1,3.1
4157.54,4482.76,2.4,64.2,4,6.5
4606.81,4996.01,8.7,100.0,6,10.1
4529.47,3304.5,7.4,74.2,6,10.1
3243.78,3354.29,4.1,64.5,8,11.1
5355.34,4297.72,1.6,58.4,1,1.4
5313.27,4133.97,7.7,99.6,7,5.9
5006.14,5915.43,4.8,81.9,1,1.3
4718.5,4683.23,7.5,93.8,7,5.4
3301.56,2642.07,1.8,55.4,3,0.0
4495.23,4981.9,3.8,68.9,8,7.2
4588.74,5992.1,5.0,91.8,3,4.1
4037.27,4844.61,5.1,83.3,1,0.0
4806.46,3187.73,4.1,76.2,8,7.4
5484.86,4355.04,6.2,85.8,3,2.5
7263.42,6645.24,2.9,58.0,2,6.1
5209.49,4038.61,4.7,73.4,1,0.0
5309.06,5009.59,5.2,85.9,3,7.1
4910.66,5075.04,6.0,84.0,2,0.0
2697.47,2607.19,6.4,94.3,2,6.0
4968.18,4436.47,2.8,82.8,6,9.9
5072.28,1943.12,1.9,64.2,1,3.7
7955.89,5158.44,7.6,97.2,2,0.0
4769.17,4182.53,5.7,97.3,6,9.1
5361.86,3682.7,3.5,63.9,3,2.8
4958.35,5785.1,8.1,84.4,4,0.0
3597.59,2654.68,5.2,71.8,1,4.9
6371.39,4833.66,7.4,80.2,8,12.3
5902.32,5055.75,5.1,77.6,7,1.3
5949.24,6127.64,9.1,100.0,7,7.5
3908.74,2805.68,8.5,100.0,3,7.2
6683.35,6272.21,4.5,79.3,10,13.7
3317.78,3667.08,6.9,93.4,10,12.5
5704.23,4066.91,6.3,98.6,3,0.0
7628.55,6183.96,7.7,79.8,2,4.2
3811.36,4064.93,3.1,66.9,1,0.3
4320.44,3680.05,6.4,98.7,7,10.0
5119.58,4615.63,7.1,82.1,7,7.8
4395.83,3889.66,1.5,63.3,2,1.9
3139.2,3660.42,2.6,64.5,7,8.9
5082.28,5070.84,0.9,43.2,8,7.5
3725.24,5131.43,4.5,82.0,1,0.9
5568.31,3793.9,6.4,100.0,9,7.3
3896.69,5654.77,8.0,100.0,7,2.2
6859.92,3868.29,5.1,83.7,3,4.7
4060.1,3908.62,8.3,100.0,8,5.6
4613.53,4777.42,2.2,49.4,7,6.4
5976.22,5212.9,1.6,61.0,8,8.9
3522.96,3263.32,4.9,70.6,6,0.0
5272.95,4469.98,5.8,86.9,9,3.4
6568.57,4889.88,4.9,74.7,5,4.1
3071.02,3064.02,0.9,51.7,3,4.4
5221.56,5290.46,4.8,81.9,3,5.2
5311.86,4941.54,2.4,69.5,1,0.0
5938.19,4414.77,6.3,85.6,8,9.9
3515.66,4477.51,5.7,83.2,2,1.3
3415.45,3953.57,3.1,55.2,3,0.4
5626.33,5463.45,4.0,67.3,8,6.1
5356.38,5181.89,2.9,66.8,8,10.4
